,game_fr,game_en,platform,website_rating,public_rating,publishor/developer,release,type,classification,url,description
50,1080° Snowboarding,1080° Snowboarding,N64,17/20,--/20,Nintendo,30 Novembre 1998,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-57986/," Soyons honnêtes, la Nintendo 64 n'est pas restée dans les annales pour ses jeux de sport. Plus réputée pour ses grosses licences, la console a pourtant accouché en 1998 de 1080° Snowboarding, un excellent jeu de snowboard qui propose une expérience endiablée, et résolument technique, en haute altitude. Ayant la lourde tâche d'être l'un des précurseurs du jeu de snowboard sur consoles 3D, le titre propose plusieurs modes de jeu plus ou moins convaincants pour un résultat final plus que satisfaisant."
51,11-11 : Memories Retold,11-11: Memories Retold,PC PS4 ONE,15/20,15/20,Bandai Namco Aardman Animations Digixart Entertainment,09 Novembre 2018,Aventure,Unknown,http://www.jeuxvideo.com/jeux/jeu-837845/,"Après avoir proposé le très instructif et pédagogique Soldats Inconnus : Mémoires de la Grande Guerre, Yoan Fanise s'est à nouveau employé à traiter d'un sujet qui lui tient à cœur dans son nouveau projet baptisé 11-11 Memories Retold. Et à seulement quelques jours de la célébration du centenaire de l'armistice de 1918, le titre de Digixart choisi de prôner davantage la paix et la fraternité que de s'appesantir l'horreur du conflit."
52,1112 Episode 01,Elea: Episode 1,iOS,16/20,12.9/20,Agharta Studio,24 Novembre 2008,Aventure Point'n Click,+12 ans,http://www.jeuxvideo.com/jeux/iphone-ipod/00028741-1112-episode-01.htm," Les jeux d'aventure de type point and click avaient su enchanter un certain type de joueurs sur PC, voilà que le genre évolue, et migre également sur consoles et téléphones portables. Souvent simples adaptations remasterisées, certains titres se démarquent tout de même, en proposant une aventure originale. 1112 se déclinera en divers épisodes, voyons donc ce que vaut réellement le premier d'entre eux."
53,1112 Episode 02,1213: Episode 1,iOS,18/20,15.6/20,Agharta Studio,28 Mai 2010,Aventure,+12 ans,http://www.jeuxvideo.com/jeux/iphone-ipod/00037113-1112-episode-02.htm," La mise en avant des titres iPhone et iPad étant bien loin de Red Dead Redemption et autres Final Fantasy XIII, le public n'est pas forcément toujours au courant des bijoux du marché Apple. Et pourtant, l'Appstore regorge de petites perles vidéoludiques. La preuve avec 1112 dont le deuxième épisode testé ici a dominé durant plusieurs mois le top des applications téléchargées."
54,1112 Episode 02 HD,Elea: Episode 1,iOS,18/20,18/20,Agharta Studio,28 Mai 2010,Aventure,+12 ans,http://www.jeuxvideo.com/jeux/iphone-ipod/00037114-1112-episode-02-hd.htm," La mise en avant des titres iPhone et iPad étant bien loin de Red Dead Redemption et autres Final Fantasy XIII, le public n'est pas forcément toujours au courant des bijoux du marché Apple. Et pourtant, l'Appstore regorge de petites perles vidéoludiques. La preuve avec 1112 dont le deuxième épisode testé ici a dominé durant plusieurs mois le top des applications téléchargées."
55,1112 Episode 03,Elea: Episode 1,iOS,17/20,17/20,Agharta Studio,23 Août 2011,Aventure Point'n Click,+12 ans,http://www.jeuxvideo.com/jeux/jeu-77428/," On l'attendait depuis un certain temps, et le voici enfin à notre portée ! Eh oui, l'épisode 03 de 1112 se dévoile en effet sous les yeux ébahis des amateurs d'aventure. Il faut dire que les précédents opus avaient su redorer le blason du point & click, et prouver de fort belle manière que le genre avait largement sa place sur iPhone et iPad."
56,1112 Episode 03 HD,1213: Episode 1,iOS,17/20,17/20,Agharta Studio,23 Août 2011,Aventure Point'n Click,+12 ans,http://www.jeuxvideo.com/jeux/iphone-ipod/00041932-1112-episode-03-hd.htm," On l'attendait depuis un certain temps, et le voici enfin à notre portée ! Eh oui, l'épisode 03 de 1112 se dévoile en effet sous les yeux ébahis des amateurs d'aventure. Il faut dire que les précédents opus avaient su redorer le blason du point & click, et prouver de fort belle manière que le genre avait largement sa place sur iPhone et iPad."
57,18 Jeux de Cartes,Card Games Classics,DS,10/20,14.3/20,Micro Application Cerasus Media,Mai 2011,Sport,+12 ans,http://www.jeuxvideo.com/jeux/nintendo-ds/00040760-18-jeux-de-cartes.htm," Les développeurs de Cerasus Media ont pensé aux amateurs de jeux de cartes en sortant une compilation regroupant pas moins de 18 jeux ou variantes, venant des quatre coins du monde. Le plaisir de taper le carton est-il bien retranscrit sur nos petites DS ? Réponse dans ce test."
58,18 Wheeler American Pro Trucker,Eighteen Wheeler: American Pro Trucker,NGC,11/20,12.6/20,Sega Acclaim,18 Mai 2001,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-58575/," Pratiquement tout droit sorti des bornes arcade et surtout après un passage sur Dreamcast les énormes bahuts américains font leur entrée sur Gamecube. Malheureusement, si 18 Wheeler change de machine il ne perd pas les défauts qui en faisaient un titre somme toute moyen. Qu'on se rassure toutefois, il ne perd pas pour autant les qualités qu'il possédait sur la console Sega même si plus d'une année s'est écoulée depuis, et bien plus encore depuis sa première apparition..."
59,18 Wheeler American Pro Trucker,Eighteen Wheeler: American Pro Trucker,DCAST,12/20,12.6/20,Sega Acclaim,18 Mai 2001,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-58575/," Encore un soft Sega issu de l'arcade et adapté sur Dreamcast. On ne s'en plaindra pas, d'autant que ceux qui apprécient les jeux fun et faciles à prendre en main seront certainement ravis d'apprendre que 18 Wheeler combine ces deux caractéristiques en y ajoutant un contexte original particulièrement efficace. Un jeu qui démontre avec panache que la vie d'un chauffeur routier n'est pas toujours de tout repos."
60,18 Wheels of Steel : Extreme Trucker,18 Wheels of Steel: Extreme Trucker,PC,10/20,13.4/20,Valusoft SCS Software,06 Novembre 2009,Course,+3 ans,http://www.jeuxvideo.com/jeux/pc/00034841-18-wheels-of-steel-extreme-trucker.htm," Spécialisé dans les simulations de camions en tout genre, le développeur tchèque SCS Software nous livre aujourd'hui un nouvel épisode de la série 18 Wheels of Steel sur PC. Baptisé Extreme Trucker, celui-ci nous incite à prendre tous les risques pour effectuer des livraisons dans des régions particulièrement inhospitalières."
61,187 Ride or Die,187: Ride Or Die,Xbox,15/20,15.5/20,Ubisoft,25 Août 2005,Action Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-63618/," Le succès populaire de GTA a donné des idées à Ubisoft puisque celui-ci a décidé d'éditer 187 Ride Or Die, un titre qui s'avère au final être un réel mélange des genres tout en misant principalement sur un aspect ""Gangsta"". Rassemblez votre arsenal, installez-vous sur le siège passager et préparez-vous à dégommer quiconque souhaiterait vous passer devant pour vous voler la vedette. L'objectif est de s'imposer comme LE Gangsta du quartier tout en ayant de grandes qualités de pilotage."
62,187 Ride or Die,187: Ride Or Die,PS2,15/20,--/20,Ubisoft,25 Août 2005,Action Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-63618/," Le succès populaire de GTA a donné des idées à Ubisoft puisque celui-ci a décidé d'éditer 187 Ride Or Die, un titre qui s'avère au final être un réel mélange des genres tout en misant principalement sur un aspect ""Gangsta"". Rassemblez votre arsenal, installez-vous sur le siège passager et préparez-vous à dégommer quiconque souhaiterait vous passer devant pour vous voler la vedette. L'objectif est de s'imposer comme LE Gangsta du quartier tout en ayant de grandes qualités de pilotage."
63,1944 : Campagne des Ardennes,No Surrender: Battle of the Bulge,PC,12/20,14.4/20,Monte Cristo Multimédia Intex Publishing,25 Mars 2005,Stratégie,+12 ans,http://www.jeuxvideo.com/jeux/pc/00014007-1944-campagne-des-ardennes.htm," Alors que je ne fais que commencer à écrire ce test, je me demande déjà ce que je vais bien pouvoir dire qui n'ait pas déjà été mentionné dans la preview ou dans les tests des deux autres jeux qui utilisent le même moteur 3D et qui ont le même gameplay que 1944 : Campagne des Ardennes. Ce dernier est en effet le troisième opus d'une série commencée avec Afrika Korps VS Desert Rats et D-Day. Et le moins que l'on puisse dire c'est qu'hormis les missions qui changent, les différences entre les deux derniers softs de la saga sont assez minces."
64,1954 : Alcatraz,1954: Alcatraz,Mac,12/20,13.3/20,Daedalic Entertainment Irresponsible Games,11 Mars 2014,Aventure Point'n Click,+16 ans,http://www.jeuxvideo.com/jeux/jeu-80443/," Alors que les vieilles légendes du point'n click ressuscitent des licences cultes (Broken Sword 5 pour Charles Cecil) ou en créent de nouvelles (Broken Age pour Tim Schafer) après des années de silence, certains acteurs de l'ombre n'ont jamais baissé les bras face à la baisse de popularité du style. Daedalic est de ceux-là. Fort connu pour la qualité de ses jeux en 2D (la trilogie Deponia en tête), le studio allemand aime les paris et soutient de nombreux projets, dont ce 1954 : Alcatraz, que les fervents défenseurs du jeu d'aventure à l'ancienne attendaient de pied ferme, face à la promesse d'une double intrigue, d'une atmosphère envoûtante et de choix ouvrant la porte à des fins multiples."
65,1954 : Alcatraz,1954: Alcatraz,PC,12/20,--/20,Daedalic Entertainment Irresponsible Games,11 Mars 2014,Aventure Point'n Click,+16 ans,http://www.jeuxvideo.com/jeux/jeu-80443/," Alors que les vieilles légendes du point'n click ressuscitent des licences cultes (Broken Sword 5 pour Charles Cecil) ou en créent de nouvelles (Broken Age pour Tim Schafer) après des années de silence, certains acteurs de l'ombre n'ont jamais baissé les bras face à la baisse de popularité du style. Daedalic est de ceux-là. Fort connu pour la qualité de ses jeux en 2D (la trilogie Deponia en tête), le studio allemand aime les paris et soutient de nombreux projets, dont ce 1954 : Alcatraz, que les fervents défenseurs du jeu d'aventure à l'ancienne attendaient de pied ferme, face à la promesse d'une double intrigue, d'une atmosphère envoûtante et de choix ouvrant la porte à des fins multiples."
66,24 Heures Chrono : Le Jeu,24: The Game,PS2,8/20,14.9/20,Sony,15 Mars 2006,Action,+16 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00014278-24-heures-chrono-le-jeu.htm," Avec un succès planétaire sans bornes, il n'est pas étonnant que Jack Bauer et sa clique débarquent sur PS2. Assisté par les scénaristes de la série, Sony Cambridge nous livre ici un titre qui sait se montrer d'une grande fidélité à son modèle, au moins dans sa mise en forme. Pour ce qui est du jeu, c'est une toute autre affaire."
67,24 Heures du Mans,Le Mans 24 Hours,DCAST,18/20,17.6/20,Eutechnyx Melbourne House Infogrames,Novembre 1999,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61352/," La course mythique du Mans reste encore à l'heure actuelle une des plus en vogue techniquement et émotionnellement. Si vous aimez rouler à plus de 300 km&#47;h sous la pluie avec un des bolides les puissants existants, 24 Heures Du Mans est fait pour vous !"
68,24 Heures du Mans,Le Mans 24 Hours,GB,18/20,17.6/20,Eutechnyx Melbourne House Infogrames,Novembre 1999,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61352/," La Game Boy Color sort le grand jeu avec les 24 heures du Mans, jeu de courses à sensations qui va vous en mettre plein les mirettes ! En piste…"
69,24 Heures du Mans,Le Mans 24 Hours,PC,12/20,17.6/20,Eutechnyx Melbourne House Infogrames,Novembre 1999,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61352/,Et voilà le premier jeu officiel des 24 heures du Mans. La célèbre course mancelle datant de 1923 perd vraiment de sa superbe quand on voit ce qu'Infogrames en a fait...
70,24 Heures du Mans,Le Mans 24 Hours,PS1,12/20,17.6/20,Eutechnyx Melbourne House Infogrames,Novembre 1999,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61352/," Infogrames nous donne l'occasion de piloter des voitures prototypes sur le célèbrissime circuit de la Sarthe, celui où, tous les ans, à lieu une certaine compétition que l'on appelle : les 24 heures du Mans... mais chut !, ne le répétez à personne !"
71,2Dark,2Dark,PC PS4 ONE,15/20,16.5/20,Gloomywood,10 Mars 2017,Infiltration Survival-Horror,+18 ans,http://www.jeuxvideo.com/jeux/jeu-82999/,"Une nostalgie 80/90's s'empare des joueurs au doux nom de Frédérick Raynal, créatif vidéoludique français de la première heure au même titre que Eric Chahi (Heart of Darkness, From Dust) et Michel Ancel (Rayman, Beyond Good & Evil)... Ce précurseur de l'horreur, ayant imaginé un Alone in the Dark qui aura inspiré la première salve de Survival-Horror, renoue avec ses premiers amours. A l'heure des éditeurs AAA, le financement participatif a (re)donné voix au chapitre à de nombreux jeux indépendants parmi lesquels ce projet. 2Dark arpente un univers sombre peuplé de tueurs en série et titille à la fois nos sens et notre réflexion. C'est un briquet à la main et la peur au ventre que 2Dark débute."
72,3 on 3 NHL Arcade,3 on 3 NHL Arcade,PS3,14/20,16.1/20,Electronic Arts,11 Février 2009,Sport,Unknown,http://www.jeuxvideo.com/jeux/jeu-71037/," Chaque année Electronic Arts nous gratifie d'un NHL aux alentours de la rentrée scolaire. Simulation de hockey sur glace par excellence, la série est l'une des références de la division EA Sports. Mais cette fois, ce n'est pas la grande simulation qui nous intéresse puisque nous avons le plaisir de découvrir un petit jeu purement arcade qui devrait en ravir plus d'un lors de parties multijoueurs loufoques. Il faut dire aussi que balancer son adversaire par-dessus la rambarde de la patinoire est un plaisir qui ne se refuse pas !"
73,3 on 3 NHL Arcade,3 on 3 NHL Arcade,360,14/20,--/20,Electronic Arts,11 Février 2009,Sport,Unknown,http://www.jeuxvideo.com/jeux/jeu-71037/," Chaque année Electronic Arts nous gratifie d'un NHL aux alentours de la rentrée scolaire. Simulation de hockey sur glace par excellence, la série est l'une des références de la division EA Sports. Mais cette fois, ce n'est pas la grande simulation qui nous intéresse puisque nous avons le plaisir de découvrir un petit jeu purement arcade qui devrait en ravir plus d'un lors de parties multijoueurs loufoques. Il faut dire aussi que balancer son adversaire par-dessus la rambarde de la patinoire est un plaisir qui ne se refuse pas !"
74,30 Millions d'Amis : Mon refuge pour animaux,30 Millions d'Amis : Mon refuge pour animaux,DS,13/20,15.5/20,Biodroid Entertainment Deep Silver,21 Novembre 2008,Simulation,+3 ans,http://www.jeuxvideo.com/jeux/jeu-69796/," Amis des bêtes à poil, munissez-vous d'un stéthoscope et de votre meilleure brosse à cheveux, il est l'heure de consacrer votre temps à six espèces animales dans le besoin. Profitant d'une licence vieille de trente ans et connue de tous, ce jeu de gestion se destine à un public en période pré-adolescence. Typiquement et en caricaturant un brin, on pense immédiatement à la petite collégienne qui a déjà fait de vétérinaire son futur métier."
